deaths
58
123
177
250
317
402
485
587
694
799
1027
1225
1496
1828
2181
2628
3033
3720
4362
5179
6151
7230
8586
10211
11840
13713
16094
18482
21273
24544
28062
31166
34973
39509
44398
50367
56374
61890
66627
71854
79236
85680
92914
99887
105979
111396
